start,end,count,mean,std
11 St & Washington St,11 St & Washington St,142,25.929107981220657,39.1863503396497
11 St & Washington St,12 St & Sinatra Dr N,44,56.65530303030303,149.7093125553568
11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,48,12.481597222222222,16.33527859294181
11 St & Washington St,4 St & Grand St,47,7.348581560283688,2.4658068169059657
11 St & Washington St,6 St & Grand St,25,5.89,1.9835900860887639
11 St & Washington St,7 St & Monroe St,38,7.7859649122807015,3.0838300703248036
11 St & Washington St,8 St & Washington St,45,15.806296296296296,66.70950927255394
11 St & Washington St,9 St HBLR - Jackson St & 8 St,57,6.345321637426901,1.816261844328166
11 St & Washington St,Adams St & 11 St,25,3.606666666666667,1.9945817810963482
11 St & Washington St,Adams St & 2 St,54,10.44351851851852,5.725619551827657
11 St & Washington St,Baldwin at Montgomery,1,28.866666666666667,
11 St & Washington St,Bloomfield St & 15 St,25,14.71,15.759998296202202
11 St & Washington St,Brunswick & 6th,2,14.591666666666665,3.618029697071167
11 St & Washington St,Brunswick St,2,19.508333333333333,5.786490492709915
11 St & Washington St,Church Sq Park - 5 St & Park Ave,55,36.846060606060604,216.66965159301057
11 St & Washington St,City Hall,2,57.19166666666667,38.478394009567964
11 St & Washington St,City Hall - Washington St & 1 St,140,13.805357142857142,51.442275211427855
11 St & Washington St,Clinton St & 7 St,20,8.2625,5.912168725187715
11 St & Washington St,Clinton St & Newark St,47,8.861702127659575,5.763530514910087
11 St & Washington St,Columbus Dr at Exchange Pl,11,32.47272727272727,4.418787369650389
11 St & Washington St,Columbus Drive,2,16.31666666666667,0.3064129385141695
11 St & Washington St,Columbus Park - Clinton St & 9 St,15,60.653333333333336,186.60042066421903
11 St & Washington St,Dixon Mills,2,32.19166666666667,0.31819805153394465
11 St & Washington St,Essex Light Rail,1,18.416666666666668,
11 St & Washington St,Grand St,3,27.983333333333334,2.520802341407286
11 St & Washington St,Grand St & 14 St,24,9.268055555555556,11.460371667623368
11 St & Washington St,Grove St PATH,4,18.2875,1.832493494506162
11 St & Washington St,Hamilton Park,5,18.77,1.2882158204276173
11 St & Washington St,Harborside,7,27.37619047619048,8.930010042831944
11 St & Washington St,Heights Elevator,10,35.983333333333334,36.58883152811242
11 St & Washington St,Hilltop,1,25.95,
11 St & Washington St,Hoboken Ave at Monmouth St,30,18.51833333333333,29.426417858918253
11 St & Washington St,Hoboken Terminal - Hudson St & Hudson Pl,155,10.586774193548388,40.62823811922375
11 St & Washington St,Hoboken Terminal - River St & Hudson Pl,111,8.485585585585586,3.769625739324557
11 St & Washington St,Hudson St & 4 St,97,9.697766323024055,14.839403531065164
11 St & Washington St,JC Medical Center,1,29.15,
11 St & Washington St,Jersey & 3rd,4,19.825000000000003,3.751703316865258
11 St & Washington St,Jersey & 6th St,13,18.376923076923077,3.2760673865730423
11 St & Washington St,Journal Square,1,21.5,
11 St & Washington St,Leonard Gordon Park,1,28.266666666666666,
11 St & Washington St,Lexington Ave & E 24 St,1,61.50000000000001,
11 St & Washington St,Madison St & 1 St,42,11.971031746031747,10.380284796655257
11 St & Washington St,Madison St & 10 St,42,3.9813492063492064,1.0090726805035652
11 St & Washington St,Mama Johnson Field - 4 St & Jackson St,23,8.515217391304347,3.192616612503178
11 St & Washington St,Manila & 1st,6,24.313888888888886,6.94696909663701
11 St & Washington St,Marin Light Rail,3,23.21111111111111,5.038803135372231
11 St & Washington St,Marshall St & 2 St,25,9.444666666666667,3.1662014278124313
11 St & Washington St,Monmouth and 6th,4,30.195833333333336,24.5367199315638
11 St & Washington St,Montgomery St,1,27.616666666666667,
11 St & Washington St,Newark Ave,4,26.3,12.547000526907706
11 St & Washington St,Newport PATH,23,17.52536231884058,3.648747085240486
11 St & Washington St,Newport Pkwy,24,20.584722222222222,9.346168602819818
11 St & Washington St,Oakland Ave,3,22.12777777777778,12.200015179104097
11 St & Washington St,Paulus Hook,1,19.083333333333332,
11 St & Washington St,Pershing Field,1,16.333333333333336,
11 St & Washington St,Riverview Park,7,15.60952380952381,7.51638246039977
11 St & Washington St,South Waterfront Walkway - Sinatra Dr & 1 St,173,13.203949903660886,19.586377104842107
11 St & Washington St,Southwest Park - Jackson St & Observer Hwy,18,14.192592592592593,3.694220102284772
11 St & Washington St,Stevens - River Ter & 6 St,31,14.274193548387096,28.84568741074352
11 St & Washington St,Van Vorst Park,3,30.083333333333332,2.9537170555834305
11 St & Washington St,Warren St,16,19.421875,7.6795705868328445
11 St & Washington St,Washington St,16,36.63229166666667,31.654604994551914
11 St & Washington St,West St & Chambers St,1,28.7,
11 St & Washington St,Willow Ave & 12 St,32,13.725520833333334,22.164499038803676
12 St & Sinatra Dr N,11 St & Washington St,52,25.01666666666667,32.46173967124468
12 St & Sinatra Dr N,12 St & Sinatra Dr N,566,40.24148998822144,74.53885592094986
12 St & Sinatra Dr N,14 St Ferry - 14 St & Shipyard Ln,64,28.459375,27.82524561311787
12 St & Sinatra Dr N,4 St & Grand St,42,13.718253968253967,13.81754746744978
12 St & Sinatra Dr N,6 St & Grand St,17,11.57450980392157,6.877315563702534
12 St & Sinatra Dr N,7 St & Monroe St,30,15.172777777777778,17.68201864057437
12 St & Sinatra Dr N,8 St & Washington St,61,20.475956284153003,35.734381271505406
12 St & Sinatra Dr N,9 St HBLR - Jackson St & 8 St,41,9.135772357723576,3.4191242400804462
12 St & Sinatra Dr N,Adams St & 11 St,19,9.135087719298246,14.429769142016024
12 St & Sinatra Dr N,Adams St & 2 St,33,13.165151515151514,6.187998525983644
12 St & Sinatra Dr N,Baldwin at Montgomery,1,44.95,
12 St & Sinatra Dr N,Bloomfield St & 15 St,23,22.519565217391307,17.088932306558217
12 St & Sinatra Dr N,Brunswick & 6th,4,18.0,1.0511898020814314
12 St & Sinatra Dr N,Brunswick St,4,28.579166666666666,12.173532119284824
12 St & Sinatra Dr N,Christ Hospital,2,21.058333333333334,0.1767766952966369
12 St & Sinatra Dr N,Church Sq Park - 5 St & Park Ave,46,12.197101449275364,11.050536160584826
12 St & Sinatra Dr N,City Hall - Washington St & 1 St,70,15.211190476190476,8.682179873424493
12 St & Sinatra Dr N,Clinton St & 7 St,22,149.41742424242423,642.3275506217669
12 St & Sinatra Dr N,Clinton St & Newark St,36,16.94212962962963,10.94054022498259
12 St & Sinatra Dr N,Columbus Dr at Exchange Pl,17,25.544117647058822,6.906450641068562
12 St & Sinatra Dr N,Columbus Drive,7,25.395238095238092,4.8437599632940715
12 St & Sinatra Dr N,Columbus Park - Clinton St & 9 St,32,20.527083333333334,79.16845552591273
12 St & Sinatra Dr N,Dixon Mills,1,38.61666666666667,
12 St & Sinatra Dr N,Essex Light Rail,6,79.33333333333333,114.06433613438416
12 St & Sinatra Dr N,Fairmount Ave,2,45.99166666666667,5.008673033404708
12 St & Sinatra Dr N,Grand St,14,34.423809523809524,30.219665665228543
12 St & Sinatra Dr N,Grand St & 14 St,33,23.956565656565655,27.051476757861938
12 St & Sinatra Dr N,Greenwich St & Hubert St,1,36.9,
12 St & Sinatra Dr N,Greenwich St & W Houston St,1,50.766666666666666,
12 St & Sinatra Dr N,Grove St PATH,4,50.333333333333336,61.446220086861025
12 St & Sinatra Dr N,Hamilton Park,7,38.07857142857143,24.301176839140854
12 St & Sinatra Dr N,Harborside,14,25.571428571428573,4.022109986358994
12 St & Sinatra Dr N,Heights Elevator,3,10.166666666666666,5.042899298353412
12 St & Sinatra Dr N,Hilltop,14,24.958333333333336,8.352587372303615
12 St & Sinatra Dr N,Hoboken Ave at Monmouth St,27,28.418518518518518,63.863030571600454
